;Preço_hoje;Liquidez_media;P/L;P/VP;Dy 12m 2021;Dl/Pl_hoje;Lpa_2020;Lpa_2019;Setor;Sub_setor
AALR3;8,99;6.554.504,98;-10,92;0,87;-%;0,46;-0,82;0,35;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos
ABCB4;14,82;10.408.091,70;10,16;0,76;4,79%;-;1,54;2,28;Financeiro e Outros;Intermediários Financeiros
ABEV3;15,25;324.841.037,78;21,08;3,19;3,22%;-0,19;0,72;0,75;Consumo não Cíclico;Bebidas
ADHM3;1,56;94.201,44;-4,09;-1,29;-%;-;-0,38;7,03;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos
AERI3;9,23;37.671.096,83;62,48;7,32;-%;0,47;0,15;;Bens Industriais;Máquinas e Equipamentos
AFLT3;8,90;23.095,85;30,01;3,00;13,06%;-0,16;0,30;0,40;Utilidade Pública;Energia Elétrica
AGRO3;30,47;20.812.315,90;12,82;2,23;2,33%;0,44;3,14;2,10;Consumo não Cíclico;Agropecuária
AHEB3;22,89;7.339,00;-8,17;54,14;-%;-14,09;-2,80;-18,16;Consumo Cíclico;Viagens e Lazer
AHEB5;20,01;4.500,00;-7,14;47,33;-%;-14,09;-2,80;-18,16;Consumo Cíclico;Viagens e Lazer
AHEB6;27,00;5.400,00;-9,64;63,87;-%;-14,09;-2,80;-18,16;Consumo Cíclico;Viagens e Lazer
ALPA3;35,23;56.945,58;147,78;6,86;-%;-0,15;0,24;0,47;Consumo Cíclico;Tecidos. Vestuário e Calçados
ALPA4;38,35;48.994.853,45;160,86;7,47;-%;-0,15;0,24;0,47;Consumo Cíclico;Tecidos. Vestuário e Calçados
ALPK3;8,66;370.673,98;-9,82;2,44;-%;2,09;-0,88;;Bens Industriais;Serviços
ALSO3;26,45;36.972.942,65;41,58;0,92;-%;-0,18;0,64;-;Financeiro e Outros;Exploração de Imóveis
ALUP11;25,94;100 %;8,07;0,85;3,24%;0,77;3,21;3,04;Utilidade Pública;Energia Elétrica
ALUP3;8,47;150.042,63;7,90;0,83;3,31%;0,77;1,07;1,01;Utilidade Pública;Energia Elétrica
ALUP4;8,75;209.723,55;8,17;0,86;3,20%;0,77;1,07;1,01;Utilidade Pública;Energia Elétrica
AMAR3;5,53;34.536.015,35;-;1,46;-%;0,93;0,00;-0,55;Consumo Cíclico;Comércio
AMBP3;28,85;7.136.099,65;72,69;2,66;-%;-0,31;0,40;;Utilidade Pública;Água e Saneamento
ANDG3B;28,82;-;59,95;2,23;-%;0,13;0,48;0,48;Financeiro e Outros;Holdings Diversificadas
ANDG4B;0,00;-;0,00;0,00;-%;0,13;0,48;0,48;Financeiro e Outros;Holdings Diversificadas
ANIM3;10,77;27.223.347,55;-105,81;1,72;-%;0,02;-0,31;-0,12;Consumo Cíclico;Diversos
APER3;47,70;3.912.647,90;-789,05;3,08;0,11%;-0,25;-;0,33;Financeiro e Outros;Previdência e Seguros
APTI3;197,64;-;0,07;0,01;-%;-0,01;3.517,13;-990,86;Consumo não Cíclico;Agropecuária
APTI4;3.500,00;-;1,23;0,25;-%;-0,01;3.517,13;-990,86;Consumo não Cíclico;Agropecuária
ARZZ3;76,59;52.385.725,65;157,06;5,66;0,69%;0,05;0,49;1,80;Consumo Cíclico;Comércio
ATMP3;5,38;926.409,63;-0,62;0,80;-%;1,56;-8,70;-;Bens Industriais;Serviços
ATOM3;9,80;5.133.721,98;16,61;14,10;-%;-1,02;0,59;0,10;Financeiro e Outros;Outros
AURA33;62,12;13.183.935,08;11,41;2,70;7,39%;-0,15;19,96;;Materiais Básicos;Mineração
AVLL3;25,00;244.934,43;-1,83;1,41;-%;1,60;-13,68;;Consumo Cíclico;Construção Civil
AZEV3;6,41;682.094,00;-1,04;-528,79;-%;-;0,00;-1,33;Bens Industriais;Construção e Engenharia
AZEV4;4,58;910.656,43;-0,74;-377,83;-%;-;0,00;-1,33;Bens Industriais;Construção e Engenharia
AZUL4;40,36;300.569.152,40;-4,70;-3,60;-%;-;-8,61;-1,91;Bens Industriais;Transporte
B3SA3;53,58;813.549.299,40;26,35;4,46;4,84%;-0,34;2,02;1,32;Financeiro e Outros;Serviços Financeiros Diversos
BAHI3;76,00;50.036,62;-3,71;0,91;-%;0,05;-20,46;-3,39;Consumo Cíclico;Diversos
BALM3;19,24;63.579,14;11,08;1,56;6,13%;-0,11;1,74;0,64;Saúde;Equipamentos
BALM4;15,00;64.134,81;8,63;1,21;7,87%;-0,11;1,74;0,64;Saúde;Equipamentos
BAUH4;78,90;58.285,77;17,58;4,49;1,09%;-0,27;4,49;5,14;Consumo não Cíclico;Alimentos Processados
BAZA3;38,50;59.573,67;4,30;0,47;6,74%;-;8,96;9,29;Financeiro e Outros;Intermediários Financeiros
BBAS3;30,28;538.827.987,13;6,93;0,74;4,76%;-;4,64;5,72;Financeiro e Outros;Intermediários Financeiros
BBDC3;21,39;131.519.167,63;12,55;1,45;2,83%;-;1,81;2,61;Financeiro e Outros;Intermediários Financeiros
BBDC4;24,36;1.080.733.343,63;14,30;1,65;2,73%;-;1,81;2,61;Financeiro e Outros;Intermediários Financeiros
BBML3;3.936,42;-;18.030,31;1.258,08;0,01%;1,91;0,22;0,38;Bens Industriais;Serviços
BBRK3;2,02;1.262.597,85;-0,89;-3,79;-%;-;-4,91;-2,46;Financeiro e Outros;Exploração de Imóveis
BBSE3;22,46;186.474.415,10;11,69;7,04;6,01%;-;1,93;3,33;Financeiro e Outros;Previdência e Seguros
BDLL3;12,86;230.346,00;-0,31;-0,13;-%;-;-40,91;-127,76;Bens Industriais;Máquinas e Equipamentos
BDLL4;10,27;139.417,15;-0,25;-0,10;-%;-;-40,91;-127,76;Bens Industriais;Máquinas e Equipamentos
BEEF3;10,07;114.529.649,80;7,94;6,59;10,23%;6,17;1,27;0,04;Consumo não Cíclico;Alimentos Processados
BEES3;5,24;239.741,35;7,10;0,96;3,95%;-;0,70;0,68;Financeiro e Outros;Intermediários Financeiros
BEES4;5,74;21.691,03;7,82;1,06;3,58%;-;0,70;0,68;Financeiro e Outros;Intermediários Financeiros
BFRE11;0,00;-;0,00;0,00;-%;-0,33;11.800,56;19.654,11;Financeiro e Outros;Serviços Financeiros Diversos
BFRE12;0,00;-;0,00;0,00;-%;-0,33;11.800,56;19.654,11;Financeiro e Outros;Serviços Financeiros Diversos
BGIP3;37,90;12.416,75;10,66;1,19;2,62%;-;3,56;5,47;Financeiro e Outros;Intermediários Financeiros
BGIP4;22,23;61.154,65;6,25;0,70;4,90%;-;3,56;5,47;Financeiro e Outros;Intermediários Financeiros
BIDI11;223,48;100 %;-7.908,57;17,23;0,06%;-;-0,03;2,33;Financeiro e Outros;Intermediários Financeiros
BIDI3;72,58;17.269.704,20;-7.678,44;16,73;0,07%;-;-0,01;0,78;Financeiro e Outros;Intermediários Financeiros
BIDI4;75,44;147.734.104,50;-8.018,33;17,47;0,06%;-;-0,01;0,78;Financeiro e Outros;Intermediários Financeiros
BIOM3;16,91;354.868,08;-16,24;6,00;-%;0,24;-1,05;-1,17;Saúde;Comércio e Distribuição
BKBR3;10,04;25.482.380,23;-6,19;1,50;-%;0,01;-1,62;0,22;Consumo Cíclico;Hoteis e Restaurantes
BMEB3;18,50;14.819,07;6,42;0,98;4,20%;-;3,48;2,11;Financeiro e Outros;Intermediários Financeiros
BMEB4;17,56;113.639,25;6,09;0,93;4,86%;-;3,48;2,11;Financeiro e Outros;Intermediários Financeiros
BMGB4;4,76;7.406.167,10;8,89;0,67;3,75%;-;0,53;1,94;Financeiro e Outros;Intermediários Financeiros
BMIN3;22,30;5.512,33;43,85;0,86;-%;-;0,51;0,46;Financeiro e Outros;Intermediários Financeiros
BMIN4;21,40;24.406,96;42,08;0,83;6,54%;-;0,51;0,46;Financeiro e Outros;Intermediários Financeiros
BMKS3;241,99;11.725,51;31,60;0,58;2,51%;-0,78;7,66;5,91;Consumo Cíclico;Viagens e Lazer
BNBR3;69,39;27.238,77;5,88;0,97;4,04%;-;11,80;20,11;Financeiro e Outros;Intermediários Financeiros
BOAS3;13,31;12.909.320,28;394,03;3,91;0,57%;-0,62;0,10;;Financeiro e Outros;Serviços Financeiros Diversos
BOBR3;0,00;-;0,00;0,00;-%;-;0,15;-0,75;Consumo não Cíclico;Produtos de Uso Pessoal e de Limpeza
BOBR4;2,45;337.063,73;15,97;-2,60;-%;-;0,15;-0,75;Consumo não Cíclico;Produtos de Uso Pessoal e de Limpeza
BPAC11;106,32;100 %;30,21;3,71;1,14%;-;3,63;4,27;Financeiro e Outros;Intermediários Financeiros
BPAC3;53,59;225.279,48;45,68;5,62;0,75%;-;1,21;1,42;Financeiro e Outros;Intermediários Financeiros
BPAC5;26,70;188.782,30;22,65;2,78;1,52%;-;1,21;1,42;Financeiro e Outros;Intermediários Financeiros
BPAN4;17,79;87.476.732,43;32,61;4,02;1,17%;-;0,52;0,54;Financeiro e Outros;Intermediários Financeiros
BPAR3;182,07;-;7,19;1,17;4,89%;-;25,33;34,03;Financeiro e Outros;Intermediários Financeiros
BPAT33;44,05;-;6,98;0,66;-%;-;6,31;6,31;Financeiro e Outros;Intermediários Financeiros
BPHA3;0,62;-;0,06;-0,24;-%;-;10,40;10,40;Saúde;Comércio e Distribuição
BRAP3;63,75;3.040.481,38;15,12;1,97;7,77%;-0,01;4,22;-1,16;Materiais Básicos;Mineração
BRAP4;74,03;207.362.077,95;17,51;2,28;7,38%;-0,01;4,22;-1,16;Materiais Básicos;Mineração
BRDT3;22,38;189.850.556,88;6,68;2,14;11,12%;0,43;3,35;1,90;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis
BRFS3;21,59;180.689.840,43;12,68;1,99;-%;1,65;1,70;0,37;Consumo não Cíclico;Alimentos Processados
BRGE11;9,30;10.602,79;16,66;0,38;3,91%;-0,87;0,56;0,68;Financeiro e Outros;Previdência e Seguros
BRGE12;6,06;7.604,56;10,86;0,25;-%;-0,87;0,56;0,68;Financeiro e Outros;Previdência e Seguros
BRGE3;9,00;7.635,38;16,13;0,37;-%;-0,87;0,56;0,68;Financeiro e Outros;Previdência e Seguros
BRGE5;13,60;2.595,83;24,37;0,55;2,23%;-0,87;0,56;0,68;Financeiro e Outros;Previdência e Seguros
BRGE6;16,50;2.415,50;29,57;0,67;4,41%;-0,87;0,56;0,68;Financeiro e Outros;Previdência e Seguros
BRGE7;5,40;-;9,68;0,22;7,86%;-0,87;0,56;0,68;Financeiro e Outros;Previdência e Seguros
BRGE8;8,50;3.912,50;15,23;0,35;3,56%;-0,87;0,56;0,68;Financeiro e Outros;Previdência e Seguros
BRIV3;9,73;24.036,30;11,50;0,55;0,05%;-;0,85;0,78;Financeiro e Outros;Intermediários Financeiros
BRIV4;8,60;15.910,92;10,17;0,49;6,73%;-;0,85;0,78;Financeiro e Outros;Intermediários Financeiros
BRKM3;55,50;1.535.744,45;-6,61;-11,44;-%;-;-8,39;-3,51;Materiais Básicos;Químicos
BRKM5;56,24;156.389.949,03;-6,70;-11,59;-%;-;-8,39;-3,51;Materiais Básicos;Químicos
BRKM6;28,50;14.185,04;-3,40;-5,88;-%;-;-8,39;-3,51;Materiais Básicos;Químicos
BRML3;9,89;160.628.127,75;-29,27;0,76;-%;0,22;-0,34;1,43;Financeiro e Outros;Exploração de Imóveis
BRPR3;9,03;15.054.301,93;21,45;0,61;2,19%;0,15;0,42;0,76;Financeiro e Outros;Exploração de Imóveis
BRQB3;0,00;-;0,00;0,00;-%;-0,56;0,32;0,22;Tecnologia da Informação;Programas e Serviços
BRSR3;14,11;171.678,48;7,79;0,68;15,85%;-;1,52;3,10;Financeiro e Outros;Intermediários Financeiros
BRSR5;18,20;37.237,42;10,23;0,89;3,60%;-;1,52;3,10;Financeiro e Outros;Intermediários Financeiros
BRSR6;12,32;36.247.811,20;6,92;0,60;5,18%;-;1,52;3,10;Financeiro e Outros;Intermediários Financeiros
BSEV3;9,05;1.691.855,73;-14,76;-9,14;-%;-;-0,92;-1,52;Consumo não Cíclico;Alimentos Processados
BSLI3;38,12;119.793,58;30,78;20,41;6,48%;-;10,64;10,61;Financeiro e Outros;Intermediários Financeiros
BSLI4;27,00;43.625,91;21,80;14,46;10,06%;-;10,64;10,61;Financeiro e Outros;Intermediários Financeiros
BTOW3;64,46;266.025.154,85;-171,27;3,81;-%;-0,35;-0,38;-0,70;Consumo Cíclico;Comércio
BTTL3;10,40;16.116,03;9,72;5,95;-%;1,22;1,07;-0,30;Financeiro e Outros;Holdings Diversificadas
BTTL4;11.091,73;-;10.368,59;6.343,50;-%;1,22;1,07;-0,30;Financeiro e Outros;Holdings Diversificadas
CALI3;98,18;-;18,80;11,06;-%;7,31;5,22;-66,29;Consumo Cíclico;Construção Civil
CALI4;50,00;9.554,00;9,58;5,63;-%;7,31;5,22;-66,29;Consumo Cíclico;Construção Civil
CAMB3;5,39;464.343,75;10,35;2,35;-%;0,67;0,52;5,24;Consumo Cíclico;Tecidos. Vestuário e Calçados
CAMB4;6,25;-;12,00;2,72;-%;0,67;0,52;5,24;Consumo Cíclico;Tecidos. Vestuário e Calçados
CAML3;10,12;16.023.254,80;8,42;1,66;5,92%;0,50;0,96;0,58;Consumo não Cíclico;Alimentos Processados
