,tickers
0,AALR3
1,ABCB4
2,ABEV3
3,ADHM3
4,AERI3
5,AFLT3
6,AGRO3
7,AHEB3
8,AHEB5
9,AHEB6
10,ALPA3
11,ALPA4
12,ALPK3
13,ALSO3
14,ALUP11
15,ALUP3
16,ALUP4
17,AMAR3
18,AMBP3
19,ANDG3B
20,ANDG4B
21,ANIM3
22,APER3
23,APTI3
24,APTI4
25,ARZZ3
26,ATMP3
27,ATOM3
28,AURA33
29,AVLL3
30,AZEV3
31,AZEV4
32,AZUL4
33,B3SA3
34,BAHI3
35,BALM3
36,BALM4
37,BAUH4
38,BAZA3
39,BBAS3
40,BBDC3
41,BBDC4
42,BBML3
43,BBRK3
44,BBSE3
45,BDLL3
46,BDLL4
47,BEEF3
48,BEES3
49,BEES4
50,BFRE11
51,BFRE12
52,BGIP3
53,BGIP4
54,BIDI11
55,BIDI3
56,BIDI4
57,BIOM3
58,BKBR3
59,BMEB3
60,BMEB4
61,BMGB4
62,BMIN3
63,BMIN4
64,BMKS3
65,BNBR3
66,BOAS3
67,BOBR3
68,BOBR4
69,BPAC11
70,BPAC3
71,BPAC5
72,BPAN4
73,BPAR3
74,BPAT33
75,BPHA3
76,BRAP3
77,BRAP4
78,BRDT3
79,BRFS3
80,BRGE11
81,BRGE12
82,BRGE3
83,BRGE5
84,BRGE6
85,BRGE7
86,BRGE8
87,BRIV3
88,BRIV4
89,BRKM3
90,BRKM5
91,BRKM6
92,BRML3
93,BRPR3
94,BRQB3
95,BRSR3
96,BRSR5
97,BRSR6
98,BSEV3
99,BSLI3
100,BSLI4
101,BTOW3
102,BTTL3
103,BTTL4
104,CALI3
105,CALI4
106,CAMB3
107,CAMB4
108,CAML3
109,CARD3
110,CASH3
111,CASN3
112,CASN4
113,CATA3
114,CATA4
115,CBEE3
116,CCPR3
117,CCRO3
118,CCXC3
119,CEAB3
120,CEBR3
121,CEBR5
122,CEBR6
123,CEDO3
124,CEDO4
125,CEEB3
126,CEEB5
127,CEEB6
128,CEED3
129,CEED4
130,CEGR3
131,CEPE3
132,CEPE5
133,CEPE6
134,CESP3
135,CESP5
136,CESP6
137,CGAS3
138,CGAS5
139,CGRA3
140,CGRA4
141,CIEL3
142,CLSC3
143,CLSC4
144,CMIG3
145,CMIG4
146,CMSA3
147,CMSA4
148,CNSY3
149,CNTO3
150,COCE3
151,COCE5
152,COCE6
153,COGN3
154,CORR3
155,CORR4
156,CPFE3
157,CPLE3
158,CPLE5
159,CPLE6
160,CPRE3
161,CRDE3
162,CREM3
163,CRFB3
164,CRIV3
165,CRIV4
166,CRPG3
167,CRPG5
168,CRPG6
169,CSAB3
170,CSAB4
171,CSAN3
172,CSMG3
173,CSNA3
174,CSRN3
175,CSRN5
176,CSRN6
177,CTCA3
178,CTKA3
179,CTKA4
180,CTNM3
181,CTNM4
182,CTSA3
183,CTSA4
184,CTSA8
185,CURY3
186,CVCB3
187,CYRE3
188,DASA3
189,DIRR3
190,DMMO3
191,DMVF3
192,DOHL3
193,DOHL4
194,DTCY3
195,DTCY4
196,DTEX3
197,EALT3
198,EALT4
199,ECOR3
200,ECPR3
201,ECPR4
202,EEEL3
203,EEEL4
204,EGIE3
205,EKTR3
206,EKTR4
207,ELEK3
208,ELEK4
209,ELET3
210,ELET5
211,ELET6
212,ELPL3
213,EMAE3
214,EMAE4
215,EMBR3
216,ENAT3
217,ENBR3
218,ENEV3
219,ENGI11
220,ENGI3
221,ENGI4
222,ENJU3
223,ENMA3B
224,ENMA6B
225,ENMT3
226,ENMT4
227,EQPA3
228,EQPA5
229,EQPA6
230,EQPA7
231,EQTL3
232,ESTR3
233,ESTR4
234,ETER3
235,EUCA3
236,EUCA4
237,EVEN3
238,EZTC3
239,FBMC3
240,FBMC4
241,FESA3
242,FESA4
243,FHER3
244,FIGE3
245,FIGE4
246,FLEX3
247,FLRY3
248,FNCN3
249,FRAS3
250,FRIO3
251,FRTA3
252,FTRT3B
253,GBIO33
254,GEPA3
255,GEPA4
256,GFSA3
257,GGBR3
258,GGBR4
259,GMAT3
260,GNDI3
261,GOAU3
262,GOAU4
263,GOLL4
264,GPAR3
265,GPCP3
266,GPCP4
267,GPIV33
268,GRND3
269,GSHP3
270,GUAR3
271,HAGA3
272,HAGA4
273,HAPV3
274,HBOR3
275,HBRE3
276,HBSA3
277,HBTS5
278,HETA3
279,HETA4
280,HGTX3
281,HOOT3
282,HOOT4
283,HYPE3
284,IDVL3
285,IDVL4
286,IGBR3
287,IGSN3
288,IGTA3
289,INEP3
290,INEP4
291,INNT3
292,IRBR3
293,ITEC3
294,ITSA3
295,ITSA4
296,ITUB3
297,ITUB4
298,JBDU3
299,JBDU4
300,JBSS3
301,JFEN3
302,JHSF3
303,JOPA3
304,JOPA4
305,JPSA3
306,JSLG3
307,KEPL3
308,KLBN11
309,KLBN3
310,KLBN4
311,LAME3
312,LAME4
313,LAVV3
314,LCAM3
315,LEVE3
316,LHER3
317,LHER4
318,LIGT3
319,LINX3
320,LIPR3
321,LJQQ3
322,LLIS3
323,LOGG3
324,LOGN3
325,LPSB3
326,LREN3
327,LTEL3B
328,LUPA3
329,LUXM3
330,LUXM4
331,LWSA3
332,MAPT3
333,MAPT4
334,MDIA3
335,MDNE3
336,MEAL3
337,MELK3
338,MERC3
339,MERC4
340,MGEL3
341,MGEL4
342,MGLU3
343,MILS3
344,MMAQ3
345,MMAQ4
346,MMXM3
347,MNDL3
348,MNPR3
349,MOAR3
350,MOVI3
351,MRFG3
352,MRSA3B
353,MRSA5B
354,MRSA6B
355,MRVE3
356,MSPA3
357,MSPA4
358,MSRO3
359,MTIG3
360,MTIG4
361,MTRE3
362,MTSA3
363,MTSA4
364,MULT3
365,MWET3
366,MWET4
367,MYPK3
368,NAFG3
369,NAFG4
370,NEMO3
371,NEMO5
372,NEMO6
373,NEOE3
374,NGRD3
375,NORD3
376,NRTQ3
377,NTCO3
378,NUTR3
379,ODER4
380,ODPV3
381,OFSA3
382,OGXP3
383,OIBR3
384,OIBR4
385,OMGE3
386,OSXB3
387,PARD3
388,PATI3
389,PATI4
390,PCAR3
391,PCAR4
392,PDGR3
393,PDTC3
394,PEAB3
395,PEAB4
396,PETR3
397,PETR4
398,PETZ3
399,PFRM3
400,PGMN3
401,PINE3
402,PINE4
403,PLAS3
404,PLPL3
405,PMAM3
406,PNVL3
407,PNVL4
408,POMO3
409,POMO4
410,POSI3
411,PPAR3
412,PPLA11
413,PRIO3
414,PRNR3
415,PSSA3
416,PTBL3
417,PTCA11
418,PTCA3
419,PTNT3
420,PTNT4
421,QUAL3
422,QUSW3
423,QVQP3B
424,RADL3
425,RAIL3
426,RANI3
427,RANI4
428,RAPT3
429,RAPT4
430,RCSL3
431,RCSL4
432,RDNI3
433,RDOR3
434,REDE3
435,RENT3
436,RLOG3
437,RNEW11
438,RNEW3
439,RNEW4
440,ROMI3
441,RPAD3
442,RPAD5
443,RPAD6
444,RPMG3
445,RRRP3
446,RSID3
447,RSUL3
448,RSUL4
449,SANB11
450,SANB3
451,SANB4
452,SAPR11
453,SAPR3
454,SAPR4
455,SBSP3
456,SCAR3
457,SEDU3
458,SEER3
459,SEQL3
460,SGPS3
461,SHOW3
462,SHUL3
463,SHUL4
464,SIMH3
465,SLCE3
466,SLED3
467,SLED4
468,SMFT3
469,SMLS3
470,SMTO3
471,SNSY3
472,SNSY5
473,SNSY6
474,SOMA3
475,SOND3
476,SOND5
477,SOND6
478,SPRI3
479,SPRI5
480,SPRI6
481,SPRT3B
482,SQIA3
483,STBP3
484,STKF3
485,STTR3
486,SULA11
487,SULA3
488,SULA4
489,SUZB3
490,TAEE11
491,TAEE3
492,TAEE4
493,TASA3
494,TASA4
495,TCNO3
496,TCNO4
497,TCSA3
498,TECN3
499,TEKA3
500,TEKA4
501,TELB3
502,TELB4
503,TEND3
504,TESA3
505,TFCO4
506,TGMA3
507,TIET11
508,TIET3
509,TIET4
510,TIMS3
511,TKNO3
512,TKNO4
513,TOTS3
514,TOYB3
515,TOYB4
516,TPIS3
517,TRIS3
518,TRPL3
519,TRPL4
520,TUPY3
521,TXRX3
522,TXRX4
523,UCAS3
524,UGPA3
525,UNIP3
526,UNIP5
527,UNIP6
528,USIM3
529,USIM5
530,USIM6
531,VALE3
532,VAMO3
533,VIVA3
534,VIVR3
535,VIVT3
536,VIVT4
537,VLID3
538,VSPT3
539,VSPT4
540,VULC3
541,VVAR3
542,WEGE3
543,WHRL3
544,WHRL4
545,WIZS3
546,WLMM3
547,WLMM4
548,WSON33
549,YDUQ3
